Poll,White,Black,Hispanic
1/1/2001,0.1000,0.1600,0.1400
8/1/2001,0.0900,0.1700,0.2000
11/1/2001,0.1200,0.1400,0.2700
11/1/2002,0.1000,0.1500,0.2400
6/1/2003,0.1200,0.1600,0.2500
11/1/2003,0.1300,0.2100,0.2500
5/1/2004,0.1100,0.1600,0.2700
11/1/2004,0.1200,0.1100,0.2200
6/1/2005,0.1200,0.1500,0.2000
12/1/2005,0.1100,0.1600,0.2500
6/1/2006,0.0900,0.0900,0.1400
7/1/2007,0.0800,0.0900,0.1100
12/1/2007,0.0700,0.1000,0.1300
6/1/2008,0.0800,0.1300,0.1600
12/1/2008,0.1200,0.1600,0.1600
6/1/2009,0.1000,0.1500,0.1600
12/1/2009,0.1100,0.1500,0.1600
6/1/2010,0.1000,0.1500,0.1500
12/1/2010,0.1000,0.1800,0.1500
6/1/2011,0.1000,0.1700,0.1400
12/1/2011,0.0900,0.1700,0.1600
7/1/2012,0.1000,0.2300,0.1500
12/1/2012,0.1100,0.2200,0.1800
3/1/2013,0.1000,0.1900,0.1800
7/1/2013,0.1000,0.2100,0.1800
12/1/2013,0.1000,0.2700,0.1900
3/1/2014,0.1100,0.1800,0.1800
7/1/2014,0.1100,0.2200,0.2100
12/1/2014,0.1100,0.1600,0.1700
